"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"150",2,2,1,1,1,1,0,1,1
"151",2,1,2,1,2,1,0,0,0
"152",1,3,3,1,1,1,0,1,1
"153",2,2,3,1,1,1,0,1,1
"154",1,3,3,1,1,1,0,1,1
"155",1,3,5,1,1,1,0,0,1
"156",2,2,1,1,1,1,0,1,1
"157",1,2,3,1,1,1,0,1,1
"158",2,2,3,1,1,1,0,1,1
"159",1,3,4,1,1,1,0,0,1
"160",2,2,1,1,1,1,0,1,1
"161",2,2,3,1,1,1,0,1,1
"162",1,2,3,1,1,1,0,1,1
"163",1,2,3,1,1,1,0,0,1
"164",1,3,5,1,1,1,0,1,1
"165",1,3,3,1,1,1,0,1,1
"166",1,2,3,1,1,1,0,1,1
"167",1,3,5,1,1,1,2,1,1
"168",1,2,3,1,1,1,0,1,1
"169",2,2,1,1,1,1,0,0,1
"170",1,3,5,1,1,1,2,1,1
"171",1,3,3,1,1,1,0,1,1
"172",1,3,5,1,1,1,2,1,1
"173",1,3,5,1,1,1,2,1,1
"174",1,3,5,1,1,1,2,1,1
"175",1,3,3,1,1,1,0,1,1
"176",1,3,5,1,1,1,2,1,1
"177",1,2,3,1,1,1,3,1,1
"178",1,3,5,1,1,1,2,1,1
"179",2,2,1,1,1,1,0,1,1
"180",1,3,5,1,1,1,2,1,1
"181",1,3,5,1,1,1,0,1,1
"182",1,2,3,1,1,1,3,1,1
"183",1,3,5,1,1,1,2,1,1
"184",1,2,3,1,1,1,3,1,1
"185",2,2,3,1,1,1,3,1,1
"186",1,3,5,1,1,1,0,1,1
"187",1,3,5,1,1,1,0,1,1
"188",1,3,5,1,1,1,0,1,1
"189",1,2,3,1,1,1,3,1,1
"190",1,3,5,1,1,1,2,1,1
"191",1,2,3,1,1,1,0,0,1
"192",1,2,3,1,1,1,3,1,1
"193",1,3,5,1,1,1,0,1,1
"194",2,1,1,1,2,1,0,0,1
"195",1,2,3,1,1,1,3,1,1
"196",1,3,5,1,1,1,2,1,1
"197",1,3,5,1,1,1,0,1,1
"198",1,2,3,1,1,1,0,1,1
"199",1,3,5,1,1,1,2,1,1
"200",1,3,3,1,1,1,0,1,1
"201",1,2,3,1,1,1,3,1,1
"202",1,2,3,1,1,1,0,1,1
"203",1,2,3,1,1,1,0,1,1
"204",1,3,5,1,1,1,0,0,0
"205",1,2,3,1,1,1,0,1,1
"206",1,3,5,1,1,1,2,1,1
"207",1,3,5,1,1,1,2,1,1
"208",1,2,3,1,1,1,3,1,1
"209",1,3,5,1,1,1,0,1,1
"210",2,2,3,1,1,1,0,1,1
"211",1,3,3,1,1,1,0,0,1
"212",2,2,3,1,1,1,0,1,1
"213",2,1,1,1,1,1,0,0,1
"214",1,3,5,1,1,1,2,1,1
"215",2,2,1,1,1,1,0,1,1
"216",1,3,5,1,1,1,2,1,1
"217",1,3,5,1,1,1,2,1,1
"218",1,3,5,1,1,1,2,1,1
"219",1,2,3,1,1,1,0,1,1
"220",1,3,3,1,1,1,0,1,1
"221",1,3,3,1,1,1,0,1,1
"222",1,3,3,1,1,1,0,1,1
"223",1,3,5,1,1,1,2,1,1
"224",1,3,5,1,1,1,2,1,1
"225",1,3,3,1,1,1,0,1,1
"226",1,2,3,1,1,1,3,1,1
"227",1,3,5,1,1,1,2,1,1
"228",1,3,5,1,1,1,2,1,1
"229",2,1,1,1,1,1,0,0,1
"230",1,3,5,1,1,1,0,1,1
"231",1,3,5,1,1,1,0,1,1
"232",1,2,3,1,1,1,3,1,1
"233",1,2,3,1,1,1,0,1,1
"234",1,3,5,1,1,1,2,1,1
"235",1,3,4,1,1,1,0,0,0
"236",1,3,5,1,1,1,2,1,1
"237",2,2,1,1,1,1,0,1,1
"238",1,3,5,1,1,1,0,1,1
"239",1,2,3,1,1,1,3,1,1
"240",1,3,5,1,1,1,2,1,1
"241",1,3,5,1,1,1,2,1,1
"242",1,2,3,1,1,1,0,1,1
"243",1,3,5,1,1,1,2,1,1
"244",1,3,5,1,1,1,0,0,2
"245",1,3,5,1,1,1,0,1,1
"246",1,2,3,1,1,1,1,1,1
"247",2,2,3,1,1,1,3,1,1
"248",2,1,2,2,2,1,0,0,0
"249",2,2,1,1,1,1,0,0,1
"250",1,2,3,1,1,1,0,1,1
"251",1,3,5,1,1,1,0,1,1
"252",2,2,1,1,1,1,0,1,1
"253",1,3,5,1,1,1,2,1,1
"254",2,1,1,1,1,1,0,0,1
"255",1,3,3,1,1,1,0,1,1
"256",1,2,3,1,1,1,0,1,1
"257",1,3,5,1,1,1,0,1,1
"258",2,2,1,1,1,1,0,0,1
"259",1,2,3,1,1,1,3,1,1
"260",1,2,3,1,1,1,0,1,1
"261",2,2,1,1,1,1,0,1,1
"262",1,2,3,1,1,1,3,1,1
"263",1,3,3,1,1,1,0,1,1
"264",1,3,4,1,1,1,0,0,0
"265",1,2,3,1,1,1,0,1,1
"266",1,3,5,1,1,1,2,1,1
"267",1,3,5,1,1,1,2,1,1
"268",2,1,1,1,1,1,0,0,1
"269",2,2,1,1,1,1,0,1,1
"270",1,3,5,1,1,1,0,0,0
"271",2,1,1,1,1,1,0,0,1
"272",2,1,1,1,1,1,0,0,1
"273",1,2,3,1,1,1,3,1,1
"274",1,2,4,1,1,1,0,0,1
"275",2,2,1,1,1,1,0,1,1
"276",2,1,2,1,2,1,0,0,0
"277",2,2,1,1,1,1,0,1,1
"278",1,3,5,1,1,1,0,0,5
"279",1,3,3,1,1,1,0,1,1
"280",2,2,1,1,1,1,0,1,1
"281",1,2,3,1,1,1,0,1,1
"282",1,3,5,1,1,1,0,0,2
"283",2,2,1,1,1,1,0,1,1
"284",1,2,4,1,1,1,0,0,1
"285",1,2,3,1,1,1,0,1,1
"286",1,3,3,1,1,1,0,1,1
"287",2,2,1,1,1,1,0,1,1
"288",2,2,3,1,1,1,0,1,1
"289",1,3,3,1,1,1,0,1,1
"290",2,1,2,1,2,1,0,0,0
"291",1,2,3,1,1,1,0,1,1
"292",2,2,1,1,1,1,0,0,1
"293",2,2,1,1,1,1,0,1,1
"294",1,2,3,1,1,1,0,0,1
"295",2,2,3,1,1,1,0,1,1
"296",2,2,1,1,1,1,0,0,1
"297",1,3,5,1,1,1,2,1,1
"298",2,2,1,1,1,1,0,0,0
"299",1,2,3,1,1,1,0,1,1
"300",1,2,3,1,1,1,0,1,1
"301",1,3,5,1,1,1,0,0,4
"302",2,2,3,1,1,1,0,0,1
"303",1,2,3,1,1,1,0,1,1
"304",1,3,5,1,1,1,0,1,1
"305",1,3,5,1,1,1,0,0,0
"306",1,3,5,1,1,1,2,1,1
"307",1,3,5,1,1,1,2,1,1
"308",1,3,5,1,1,1,0,0,0
"309",1,3,5,1,1,1,0,1,1
"310",1,3,5,1,1,1,2,1,1
"311",1,2,3,1,1,1,3,1,1
"312",1,3,5,1,1,1,2,1,1
"313",1,3,5,1,1,1,2,1,1
"314",1,2,3,1,1,1,0,1,1
"315",1,3,5,1,1,1,2,1,1
"316",1,3,5,1,1,1,2,1,1
"317",1,3,3,1,1,1,0,1,1
"318",1,3,5,1,1,1,0,1,1
"319",1,3,5,1,1,1,2,1,1
"320",1,3,5,1,1,1,2,1,1
"321",1,3,5,1,1,1,0,1,1
"322",1,3,5,1,1,1,0,1,1
"323",1,3,5,1,1,1,0,1,1
"324",1,3,5,1,1,1,2,1,1
"325",1,2,3,1,1,1,0,1,1
"326",1,3,5,1,1,1,0,1,1
"327",1,3,5,1,1,1,0,0,1
"328",2,2,1,1,1,1,0,1,1
"329",1,2,3,1,1,1,0,1,1
"330",1,3,5,1,1,1,0,0,0
"331",1,2,3,1,1,1,3,1,1
"332",1,2,3,1,1,1,3,1,1
"333",1,3,5,1,1,1,2,1,1
"334",1,3,5,1,1,1,2,1,1
"335",1,3,5,1,1,1,2,1,1
"336",1,3,3,1,1,1,0,0,0
"337",1,3,3,1,1,1,0,1,1
"338",1,3,4,1,1,1,0,0,0
"339",1,3,3,1,1,1,0,1,1
"340",1,2,3,1,1,1,3,1,1
"341",1,3,5,1,1,1,2,1,1
"342",1,2,4,1,1,1,0,0,0
"343",1,3,5,1,1,1,2,1,1
"344",1,2,3,1,1,1,3,1,1
"345",2,2,1,1,1,1,0,1,1
"346",1,3,4,1,1,1,0,0,0
"347",1,2,3,1,1,1,3,1,1
"348",2,2,1,1,1,1,0,1,1
"349",1,3,3,1,1,1,0,1,1
"350",1,3,5,1,1,1,2,1,1
"351",1,3,3,1,1,1,0,1,1
"352",1,3,5,1,1,1,0,1,1
"353",1,2,3,1,1,1,3,1,1
"354",2,2,1,1,1,1,0,1,1
"355",1,3,5,1,1,1,0,1,1
"356",1,3,5,1,1,1,2,1,1
"357",1,3,5,1,1,1,2,1,1
"358",1,2,3,1,1,1,3,1,1
"359",1,3,3,1,1,1,0,1,1
"360",1,2,3,1,1,1,0,1,1
"361",2,2,1,1,1,1,0,1,1
"362",1,3,5,1,1,1,2,1,1
"363",1,2,3,1,1,1,0,1,1
"364",2,2,3,1,1,1,0,1,1
"365",1,3,5,1,1,1,0,1,1
"366",1,2,4,1,1,1,0,0,0
"367",1,2,3,1,1,1,0,1,1
"368",1,2,3,1,1,1,1,1,1
"369",1,2,3,1,1,1,3,1,1
"370",1,3,5,1,1,1,0,0,1
"371",1,2,3,1,1,1,0,1,1
"372",1,3,5,1,1,1,0,1,1
"373",1,2,3,1,1,1,0,1,1
"374",1,3,3,1,1,1,0,1,1
"375",1,3,5,1,1,1,0,1,1
"376",2,1,2,2,2,1,0,0,0
"377",1,2,4,1,1,1,0,0,0
"378",2,2,1,1,1,1,0,1,1
"379",1,3,4,1,1,1,0,0,2
"380",1,3,5,1,1,1,2,1,1
"381",1,2,3,1,1,1,0,1,1
"382",1,3,5,1,1,1,0,1,1
"383",1,3,3,1,1,1,0,1,1
"384",1,3,5,1,1,1,2,1,1
"385",2,2,1,1,1,1,0,1,1
"386",1,3,5,1,1,1,2,1,1
"387",1,3,5,1,1,1,2,1,1
"388",1,2,3,1,1,1,3,1,1
"389",1,3,5,1,1,1,0,0,4
"390",2,2,1,1,1,1,0,1,1
"391",1,2,3,1,1,1,0,1,1
"392",1,3,5,1,1,1,2,1,1
"393",2,2,1,1,1,1,0,1,1
"394",2,1,2,1,2,1,0,0,1
"395",1,3,3,1,1,1,0,1,1
"396",1,3,5,1,1,1,2,1,1
"397",1,3,5,1,1,1,2,1,1
"398",2,2,4,1,1,1,0,0,0
"399",2,1,1,1,1,1,0,0,1
"400",1,3,5,1,1,1,2,1,1
"401",1,2,3,1,1,1,3,1,1
"402",1,3,5,1,1,1,0,1,1
"403",1,3,3,1,1,1,0,1,1
"404",1,3,5,1,1,1,2,1,1
"405",1,2,3,1,1,1,3,1,1
"406",1,3,4,1,1,1,0,0,0
"407",1,3,3,1,1,1,0,1,1
"408",1,3,5,1,1,1,0,1,1
"409",1,2,3,1,1,1,3,1,1
"410",1,3,5,1,1,1,2,1,1
"411",1,3,5,1,1,1,0,1,1
"412",1,3,5,1,1,1,2,1,1
"413",1,2,3,1,1,1,3,1,1
"414",1,3,3,1,1,1,0,1,1
"415",1,3,4,1,1,1,0,0,2
"416",1,2,3,1,1,1,3,1,1
"417",1,3,5,1,1,1,0,1,1
"418",1,3,3,1,1,1,0,0,0
"419",2,1,1,1,2,1,0,0,1
"420",1,3,3,1,1,1,0,1,1
"421",1,2,4,1,1,1,0,0,0
"422",1,2,3,1,1,1,0,1,1
"423",1,3,5,1,1,1,0,0,1
"424",2,2,1,1,1,1,0,0,1
"425",1,2,3,1,1,1,0,1,1
"426",1,3,3,1,1,1,0,1,1
"427",1,3,5,1,1,1,2,1,1
"428",2,2,1,1,1,1,0,0,1
"429",1,2,4,1,1,1,0,0,0
"430",1,2,3,1,1,1,0,1,1
"431",1,3,5,1,1,1,0,0,0
"432",1,2,3,1,1,1,0,1,1
"433",2,2,4,1,1,1,0,0,1
"434",1,2,3,1,1,1,0,1,1
"435",1,2,4,1,1,1,0,0,1
"436",2,2,1,1,1,1,0,1,1
"437",2,2,1,1,1,1,0,0,0
"438",1,3,5,1,1,1,0,0,1
"439",1,2,3,1,1,1,0,1,1
"440",1,2,3,1,1,1,0,1,1
"441",1,3,3,1,1,1,0,0,1
"442",2,2,1,1,1,1,0,0,0
"443",1,3,5,1,1,1,0,1,1
"444",1,3,5,1,1,1,0,0,1
"445",1,2,3,1,1,1,0,1,1
"446",2,2,1,1,1,1,0,0,1
"447",1,2,3,1,1,1,0,0,1
"448",1,2,3,1,1,1,0,0,1
"449",1,2,3,1,1,1,0,1,1
"450",1,3,3,1,1,1,0,1,1
"451",2,2,4,1,1,1,0,0,0
"452",2,1,1,1,1,1,0,0,1
"453",1,3,5,1,1,1,0,1,1
"454",1,2,3,1,1,1,0,1,1
"455",1,2,4,1,1,1,0,0,1
"456",1,2,3,1,1,1,0,0,1
"457",1,2,3,1,1,1,0,0,1
"458",1,3,3,1,1,1,0,1,1
"459",2,2,1,1,1,1,0,0,1
"460",2,2,4,1,1,1,0,0,1
"461",1,2,3,1,1,1,0,1,1
"462",1,2,3,1,1,1,3,1,1
"463",1,3,4,1,1,1,0,0,2
"464",2,1,2,2,2,1,0,0,0
"465",1,2,3,1,1,1,0,1,1
"466",1,3,5,1,1,1,0,0,0
"467",1,3,5,1,1,1,0,1,1
"468",1,3,5,1,1,1,0,1,1
"469",1,3,5,1,1,1,0,1,1
"470",1,3,3,1,1,1,0,1,1
"471",1,2,3,1,1,1,1,1,1
"472",1,3,3,1,1,1,0,1,1
"473",1,2,3,1,1,1,0,0,1
"474",2,1,4,1,2,1,0,0,0
"475",1,2,3,1,1,1,0,1,1
"476",2,1,1,1,1,1,0,0,0
"477",2,1,2,2,2,1,0,0,0
"478",1,3,5,1,1,1,0,1,1
"479",1,3,4,1,1,1,0,0,2
"480",2,2,1,1,1,1,0,1,1
"481",1,2,3,1,1,1,3,1,1
"482",2,2,1,1,1,1,0,0,1
"483",1,2,3,1,1,1,0,1,1
"484",2,1,1,1,1,1,0,0,1
"485",1,3,5,1,1,1,0,0,4
"486",1,3,5,1,1,1,2,1,1
"487",2,2,1,1,1,1,0,0,1
"488",2,2,1,1,1,1,0,0,1
"489",2,2,1,1,1,1,0,1,1
"490",1,2,4,1,1,1,0,0,1
"491",2,1,2,1,2,1,0,0,0
"492",2,2,1,1,1,1,0,1,1
"493",1,2,3,1,1,1,0,1,1
"494",2,2,3,1,1,1,0,1,1
"495",1,3,5,1,1,1,0,0,1
"496",2,2,3,1,1,1,0,1,1
"497",2,2,1,1,1,1,0,0,1
"498",2,2,1,1,1,1,0,1,1
"499",1,2,3,1,1,1,0,1,1
"500",1,2,3,1,1,1,0,1,1
"501",1,3,3,1,1,1,0,0,1
"502",1,3,3,1,1,1,0,1,1
"503",1,2,3,1,1,1,0,0,1
"504",1,3,5,1,1,1,2,1,1
"505",1,3,5,1,1,1,0,1,1
"506",1,3,5,1,1,1,2,1,1
"507",2,2,1,1,1,1,0,1,1
"508",1,3,5,1,1,1,2,1,1
"509",2,2,1,1,1,1,0,1,1
"510",1,3,3,1,1,1,0,1,1
"511",1,3,5,1,1,1,2,1,1
"512",1,3,5,1,1,1,2,1,1
"513",1,3,5,1,1,1,2,1,1
"514",2,1,1,1,2,1,0,0,0
"515",1,3,5,1,1,1,0,1,1
"516",2,2,1,1,1,1,0,1,1
"517",1,3,5,1,1,1,0,0,1
"518",1,2,3,1,1,1,0,1,1
"519",1,3,5,1,1,1,0,1,1
"520",1,3,5,1,1,1,2,1,1
"521",2,2,1,1,1,1,0,1,1
"522",1,3,3,1,1,1,0,1,1
"523",1,2,3,1,1,1,0,1,1
"524",1,3,5,1,1,1,2,1,1
"525",1,3,5,1,1,1,0,1,1
"526",1,3,5,1,1,1,0,1,1
"527",1,3,5,1,1,1,0,1,1
"528",1,3,3,1,1,1,0,1,1
"529",1,3,5,1,1,1,0,1,1
"530",2,2,1,1,1,1,0,1,1
"531",2,2,1,1,1,1,0,1,1
"532",1,3,5,1,1,1,0,1,1
"533",1,3,5,1,1,1,0,0,1
"534",1,3,3,1,1,1,0,1,1
"535",2,2,1,1,1,1,0,1,1
"536",1,2,3,1,1,1,3,1,1
"537",1,3,5,1,1,1,0,1,1
"538",1,3,5,1,1,1,2,1,1
"539",1,2,3,1,1,1,0,1,1
"540",2,2,1,1,1,1,0,1,1
"541",1,3,3,1,1,1,0,1,1
"542",1,2,3,1,1,1,3,1,1
"543",1,3,5,1,1,1,2,1,1
"544",1,3,5,1,1,1,0,1,1
"545",1,2,4,1,1,1,0,0,0
"546",1,2,3,1,1,1,3,1,1
"547",1,3,5,1,1,1,2,1,1
"548",2,1,2,1,2,1,0,0,1
"549",1,3,5,1,1,1,2,1,1
"550",1,3,5,1,1,1,2,1,1
"551",2,2,3,1,1,1,0,1,1
"552",1,3,4,1,1,1,0,0,0
"553",1,3,4,1,1,1,0,0,0
"554",1,3,5,1,1,1,2,1,1
"555",1,2,3,1,1,1,3,1,1
"556",1,3,5,1,1,1,2,1,1
"557",1,3,5,1,1,1,2,1,1
"558",1,3,3,1,1,1,0,1,1
"559",1,3,3,1,1,1,0,1,1
"560",1,3,3,1,1,1,0,1,1
"561",1,3,3,1,1,1,0,1,1
"562",1,3,5,1,1,1,2,1,1
"563",1,2,3,1,1,1,3,1,1
"564",1,3,5,1,1,1,2,1,1
