"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"150",1,1,3,1,3,1,4,3,1
"151",1,2,5,1,2,1,0,6,1
"152",1,1,5,1,2,1,16,3,1
"153",1,1,3,1,3,1,5,4,1
"154",1,2,1,1,3,1,0,0,0
"155",1,1,1,1,3,1,0,0,0
"156",1,1,3,1,3,1,0,7,1
"157",2,2,2,1,2,1,2,1,1
"158",1,1,3,1,3,1,0,3,1
"159",2,2,2,1,2,1,2,1,1
"160",2,2,2,1,2,1,0,1,1
"161",2,3,4,1,1,1,0,0,0
"162",2,2,2,1,2,1,1,1,1
"163",2,2,2,1,2,1,0,0,0
"164",1,1,3,1,3,1,11,3,1
"165",2,3,4,1,1,1,0,0,0
"166",2,2,5,1,2,1,8,1,1
"167",2,3,4,1,1,1,0,0,0
"168",1,1,5,1,3,1,7,3,1
"169",1,1,3,1,3,1,0,0,4
"170",1,1,5,1,3,1,0,3,1
"171",1,1,3,1,3,1,0,5,1
"172",2,3,2,1,2,1,0,0,0
"173",2,2,5,1,2,1,0,0,1
"174",1,1,3,1,3,1,0,0,1
"175",1,1,3,1,3,1,0,0,0
"176",2,2,1,1,2,1,0,0,0
"177",1,2,5,1,2,1,9,1,1
"178",2,2,2,1,2,1,0,0,0
"179",1,1,3,1,3,1,0,0,5
"180",2,2,2,1,2,1,0,2,2
"181",1,1,3,1,3,1,10,3,1
"182",2,2,2,1,2,1,0,1,1
"183",1,1,5,1,2,1,0,0,0
"184",1,1,3,1,3,1,4,3,1
"185",2,2,1,1,2,1,0,0,0
"186",1,1,5,1,3,1,0,3,1
"187",1,1,5,1,3,1,11,3,1
"188",1,1,5,1,3,1,0,4,1
"189",1,1,3,1,3,1,0,0,0
"190",2,2,5,1,2,1,0,0,0
"191",1,2,1,1,3,1,0,0,1
"192",2,2,2,1,2,1,0,6,1
"193",2,2,1,1,2,1,0,0,0
"194",2,2,2,1,2,1,0,1,1
"195",1,2,5,1,2,1,0,6,1
"196",1,1,3,1,3,1,4,3,1
"197",1,1,5,1,3,1,12,3,1
"198",1,2,5,1,2,1,0,6,1
"199",1,2,1,1,3,1,0,0,0
"200",2,2,2,1,2,1,1,1,1
"201",2,3,4,1,1,1,0,0,0
"202",1,1,3,1,3,1,0,0,1
"203",2,2,2,1,2,1,0,0,0
"204",1,1,1,1,3,1,0,0,0
"205",1,1,3,1,3,1,0,0,0
"206",1,1,3,1,3,1,0,0,0
